t,x1,y1,heading1,az1,el1,x2,y2,heading2,az2,el2,dist
134,0.8412535328311812,0.5406408174555976,2.4275943232284765,-26.666666666666664,-16.666666666666657,0.0,0.0,6.283185307179586,80.0,150.0,1.0
135,0.8412535328311812,0.5406408174555976,2.4275943232284765,-26.666666666666664,16.666666666666686,0.0,0.0,6.283185307179586,80.0,150.0,1.0
136,0.8412535328311812,0.5406408174555976,2.4275943232284765,-26.666666666666664,50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
137,0.8412535328311812,0.5406408174555976,2.4275943232284765,-26.666666666666664,83.33333333333334,0.0,0.0,6.283185307179586,80.0,150.0,1.0
138,0.8412535328311812,0.5406408174555976,2.4275943232284765,-26.666666666666664,116.66666666666669,0.0,0.0,6.283185307179586,80.0,150.0,1.0
139,0.8412535328311812,0.5406408174555976,2.4275943232284765,-26.666666666666664,150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
140,0.8412535328311812,0.5406408174555976,2.4275943232284765,-8.888888888888886,-150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
141,0.8412535328311812,0.5406408174555976,2.4275943232284765,-8.888888888888886,-116.66666666666666,0.0,0.0,6.283185307179586,80.0,150.0,1.0
142,0.8412535328311812,0.5406408174555976,2.4275943232284765,-8.888888888888886,-83.33333333333333,0.0,0.0,6.283185307179586,80.0,150.0,1.0
143,0.8412535328311812,0.5406408174555976,2.4275943232284765,-8.888888888888886,-50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
144,0.8412535328311812,0.5406408174555976,2.4275943232284765,-8.888888888888886,-16.666666666666657,0.0,0.0,6.283185307179586,80.0,150.0,1.0
145,0.8412535328311812,0.5406408174555976,2.4275943232284765,-8.888888888888886,16.666666666666686,0.0,0.0,6.283185307179586,80.0,150.0,1.0
146,0.8412535328311812,0.5406408174555976,2.4275943232284765,-8.888888888888886,50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
147,0.8412535328311812,0.5406408174555976,2.4275943232284765,-8.888888888888886,83.33333333333334,0.0,0.0,6.283185307179586,80.0,150.0,1.0
148,0.8412535328311812,0.5406408174555976,2.4275943232284765,-8.888888888888886,116.66666666666669,0.0,0.0,6.283185307179586,80.0,150.0,1.0
149,0.8412535328311812,0.5406408174555976,2.4275943232284765,-8.888888888888886,150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
150,0.8412535328311812,0.5406408174555976,2.4275943232284765,8.888888888888886,-150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
151,0.8412535328311812,0.5406408174555976,2.4275943232284765,8.888888888888886,-116.66666666666666,0.0,0.0,6.283185307179586,80.0,150.0,1.0
152,0.8412535328311812,0.5406408174555976,2.4275943232284765,8.888888888888886,-83.33333333333333,0.0,0.0,6.283185307179586,80.0,150.0,1.0
153,0.8412535328311812,0.5406408174555976,2.4275943232284765,8.888888888888886,-50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
154,0.8412535328311812,0.5406408174555976,2.4275943232284765,8.888888888888886,-16.666666666666657,0.0,0.0,6.283185307179586,80.0,150.0,1.0
155,0.8412535328311812,0.5406408174555976,2.4275943232284765,8.888888888888886,16.666666666666686,0.0,0.0,6.283185307179586,80.0,150.0,1.0
156,0.8412535328311812,0.5406408174555976,2.4275943232284765,8.888888888888886,50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
157,0.8412535328311812,0.5406408174555976,2.4275943232284765,8.888888888888886,83.33333333333334,0.0,0.0,6.283185307179586,80.0,150.0,1.0
158,0.8412535328311812,0.5406408174555976,2.4275943232284765,8.888888888888886,116.66666666666669,0.0,0.0,6.283185307179586,80.0,150.0,1.0
159,0.8412535328311812,0.5406408174555976,2.4275943232284765,8.888888888888886,150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
160,0.8412535328311812,0.5406408174555976,2.4275943232284765,26.66666666666667,-150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
161,0.8412535328311812,0.5406408174555976,2.4275943232284765,26.66666666666667,-116.66666666666666,0.0,0.0,6.283185307179586,80.0,150.0,1.0
162,0.8412535328311812,0.5406408174555976,2.4275943232284765,26.66666666666667,-83.33333333333333,0.0,0.0,6.283185307179586,80.0,150.0,1.0
163,0.8412535328311812,0.5406408174555976,2.4275943232284765,26.66666666666667,-50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
164,0.8412535328311812,0.5406408174555976,2.4275943232284765,26.66666666666667,-16.666666666666657,0.0,0.0,6.283185307179586,80.0,150.0,1.0
